Project Name,Site Name,Country,Taxonomic Group,Scientific Name,Vernacular Name,IUCN Threat Codes,Highest IUCN Threat Level
Space Eagle - Zambia,Katuba,Zambia,birds,Accipiter badius,{Shikra},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Accipiter melanoleucus,{Black Goshawk},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Accipiter minullus,{Little Sparrowhawk},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Accipiter ovampensis,{Ovampo Sparrowhawk},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Accipiter tachiro,{African Goshawk},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Acrocephalus arundinaceus,{Great Reed-Warbler},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Acrocephalus baeticatus,{African Reed-Warbler},,
Space Eagle - Zambia,Katuba,Zambia,birds,Acrocephalus gracilirostris,{Lesser Swamp Warbler},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Acrocephalus palustris,{Marsh Warbler},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Acrocephalus rufescens,{Greater Swamp Warbler},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Acrocephalus schoenobaenus,{Sedge Warbler},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Actitis hypoleucos,{Common Sandpiper},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Actophilornis africanus,{African Jacana},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Agricola pallidus,{Pale Flycatcher},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Alcedo semitorquata,{Half-collared Kingfisher},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Alopochen aegyptiaca,{Egyptian Goose},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Amandava subflava,{Orangebreast},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Amaurornis marginalis,{Striped Crake},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Amblyospiza albifrons,{Grosbeak Weaver},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Anaplectes rubriceps,{Red-headed Weaver},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Anas capensis,{Cape Teal},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Anas erythrorhyncha,{Red-billed Teal},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Anas sparsa,{African Black Duck},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Anas undulata,{Yellow-billed Duck},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Anastomus lamelligerus,{African Openbilled Stork},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Anhinga rufa,{African Darter},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Anomalospiza imberbis,{Cuckoo Finch},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Anthoscopus caroli,{African Penduline-Tit},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Anthreptes anchietae,{Anchieta's Sunbird},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Anthreptes longuemarei,{Western Violet-backed Sunbird},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Anthus brachyurus,{Short-tailed Pipit},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Anthus caffer,{Bush Pipit},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Anthus leucophrys,{Plain-backed Pipit},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Anthus lineiventris,{Striped Pipit},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Anthus trivialis,{Tree Pipit},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Anthus vaalensis,{Buffy Pipit},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Apalis flavida,{Yellow-breasted Apalis},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Apaloderma narina,{Narina Trogon},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Apus affinis,{Little Swift},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Apus apus,{Common Swift},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Apus caffer,{White-rumped Swift},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Apus horus,{Horus Swift},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Apus melba,{Alpine Swift},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Aquila nipalensis,{Steppe Eagle},{EN},EN
Space Eagle - Zambia,Katuba,Zambia,birds,Aquila rapax,{Tawny Eagle},{VU},VU
Space Eagle - Zambia,Katuba,Zambia,birds,Aquila spilogaster,{African Hawk-Eagle},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Aquila verreauxii,{Verreaux's Eagle},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,birds,Ardea alba,{Great Egret},{LC},LC
